examples,stage,Grf,DAdv,Context,Degree,abstract,compositionality,,,,,,,,,,,,,,,
于是要邀了薛如卞兄弟同进庙去算命，说道：“我们这里打路庄板的先生真是瞎帐，这是江右来的，必定是 [有] 些意思的高人,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
那焦氏生得 [有] 六七分颜色，女工针指，却也百伶百俐，只是心肠有些狠毒，见了四个小儿女，便生嫉妒之念,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
相了一会，又道：“这个小脚女子，必定是 [有] 颜色的，若得抱在身边睡一夜,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
掠贩的在旁，细细一观，见 [有] 十二分颜色，好生欢喜,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
那女子生得 [有] 十二分颜色，善能描龙画凤，刺绣拈花,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
他自后与母亲陶氏同住，甚是孝顺，随母亲念佛吃素，依旧卖鱼，甚 [有] 生意,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
那一宗银子原是你与哥子合借的，你一时没有，闻得你哥子近来甚 [有] 生意，就央你与我讨一讨,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
弄生道：“闻他还要到西山烧观音香，你如今将一二两银子，也定只船再去看他，或他 [有] 些意思，便好算计,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
列公，安老爷这样一个 [有] 经济有学问的人，难道连一个知县作不来？,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
列公，安老爷这样一个 [有] 经济有学问的人，难道连一个知县作不来？,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
朋友非有才 [有] 貌的，不与相交；即有才貌，而非年纪相仿者，不与亲密,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
所以这些少年 [有] 貌的，俱在花社谋做房师主试鬼混，以为闺女匹配的撮合山,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
譬如吃件东西，心上道是他好吃，吃来就觉 [有] 滋味，若心上先厌他,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
你皆因年小时候，托着老子娘的福，吃喝惯了，如今所以 [有] 了钱就顾头不顾尾,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
就这个一杯，那个一盏，冷得热的轮流把我一灌，我可就喝得 [有] 些意思了,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
黄胖姑也看准贾大少爷 [有] 钱，想做他一注生意,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
安老爷一听，心里暗说∶“ [有] 些意思了,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
且说贾芸偶然碰见了这件事，心下也十分稀罕，想那倪二倒果然 [有] 些意思，只是怕他一时醉中慷慨，到明日加倍来要，便怎么好呢,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
如今彼此都大了，况姨娘这边历年皆遇不遂心之事，所以那园子里，倘有一时照顾不到的，皆 [有] 关系,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
你们细想，颦儿这几句话，虽没什么，回想却 [有] 滋味,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
探春笑道：“倒 [有] 些意思,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
方才你们送来野鸡崽子汤，我尝了一尝，倒 [有] 味儿，又吃了两块肉，心里很受用,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
众人说：“这一串子倒 [有] 些意思,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
有些 [有] 钱的老爷，外面虽,2,1,0,0,2,1,2,,,,,,,,,,,,,,,
扬州人，祖上一直办盐，也很 [有] 钱，他排行第三,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
这都是当日 [有] 钱的老公们和那些 [有] 钱的愚妇们,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
二则又知是个有才 [有] 貌的佳人，自然是典雅和平的,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
